row: origin_zone/col: destination_zone,0,1,2,3,4,5,6,7,8,9
29,0.90205455,0.08652744,0.43200865,0.014737914,0.22549863,0.018784588,0.76948893,0.19921291,0.059202965,0.74403065
30,0.91350865,0.09958181,0.23435389,0.2495744,0.11545078,0.16028777,0.6116707,0.33458817,0.4042436,0.9224354
31,0.59242606,0.5953338,0.2339016,0.10285981,0.15411578,0.39541054,0.22959214,0.056523632,0.5004196,0.46466637
32,0.5559888,0.15244304,0.72526187,0.20709275,0.6848437,0.4609073,0.20309462,0.5540819,0.9379037,0.07947545
33,0.34465778,0.020712065,0.088540815,0.40935493,0.22037348,0.76050067,0.36967784,0.1988539,0.67740273,0.12294498
34,0.22473475,0.2635785,0.04147688,0.36641464,0.23769881,0.33171436,0.88417184,0.6596156,0.24012451,0.99448586
35,0.58326864,0.71487415,0.4536364,0.019599613,0.18212943,0.28147486,0.30532995,0.16407879,0.29530498,0.34096843
36,0.090870254,0.09264371,0.13956791,0.049328536,0.33587477,0.34493917,0.42584446,0.16897604,0.13401912,0.23096251
37,0.3587099,0.18189396,0.1237598,0.025943307,0.02273249,0.40250802,0.3245004,0.04020495,0.1377304,0.2660417
38,0.49776506,0.48836896,0.45588797,0.44611382,0.11329993,0.050467253,0.73046064,0.22658786,0.54843104,0.47200108
39,0.3501887,0.27280936,0.4045378,0.09541491,0.62870204,0.31127152,0.5590304,0.1366685,0.42274913,0.30416104
40,0.48281774,0.19743414,0.44558203,0.2993904,0.10795361,0.21937808,0.356961,0.8973085,0.18728858,0.48152348
41,0.76790756,0.6437651,0.7347954,0.37491873,0.1831968,0.47326946,0.61793464,0.5220551,0.22585623,0.10501079
42,0.054592185,0.6320737,0.9994613,0.63158303,0.31190273,0.036420655,0.55826205,0.11825607,0.13694125,0.57365966
43,0.62233335,0.91204315,0.5870056,0.5458811,0.24666783,0.82660645,0.9131329,0.663929,0.14213625,0.3693199
44,0.21183957,0.6678977,0.19233486,0.811139,0.55457515,0.4901795,0.07376516,0.37134182,0.04173899,0.18908505
45,0.20149702,0.6462349,0.1704555,0.53690356,0.5988191,0.09240302,0.10950106,0.44305187,0.62201065,0.5520844
46,0.6312443,0.47854874,0.8163599,0.42048475,0.32667732,0.42274678,0.083795354,0.02869514,0.876368,0.5627854
47,0.43434757,0.2000453,0.0793303,0.8775526,0.20693323,0.06811587,0.8671223,0.6976236,0.09037655,0.32423162
48,0.76737285,0.13404168,0.061999265,0.05590267,0.2695617,0.05775897,0.24690862,0.9801203,0.50738984,0.27236632
49,0.21503091,0.80184287,0.73363817,0.40705833,0.6118863,0.7857416,0.13990651,0.18341918,0.8805691,0.19894874
50,0.8731562,0.28696862,0.53679717,0.51814526,0.12848826,0.5743209,0.07726196,0.15697156,0.19825321,0.25712213
51,0.58955693,0.9393741,0.49236766,0.34948462,0.49457753,0.5316229,0.045432027,0.14986949,0.20260614,0.5338473
52,0.8364738,0.78884965,0.09549982,0.33233333,0.5390582,0.95365536,0.22338966,0.6043463,0.2913144,0.32501423
53,0.20672612,0.19509238,0.08412147,0.36886153,0.8629191,0.06693458,0.4877335,0.48486948,0.55254376,0.53846884
54,0.046018306,0.5518905,0.548803,0.12010358,0.39923102,0.03461948,0.14513248,0.25444582,0.2954839,0.17114727
55,0.419687,0.24757744,0.1479789,0.26318723,0.30299094,0.077215,0.45192355,0.67145324,0.022059124,0.17455553
56,0.022134164,0.1211409,0.13199411,0.9185646,0.905452,0.41748914,0.38564935,0.797381,0.19472018,0.39410898
57,0.11173036,0.26020882,0.0258646,0.06960715,0.13581163,0.71494746,0.42115125,0.4547745,0.79434735,0.8767336
58,0.38856485,0.7696964,0.18618032,0.15020551,0.6240125,0.41368788,0.011419345,0.4731995,0.50007236,0.14741942
59,0.0961382,0.22272213,0.4250918,0.24251215,0.060115494,0.3235768,0.7840958,0.59695214,0.24966179,0.6924106
60,0.9767796,0.24454518,0.22992092,0.25084338,0.65651023,0.5312683,0.15047887,0.13164952,0.10617972,0.33189103
61,0.07157618,0.21256849,0.48739833,0.70232743,0.100107536,0.6759253,0.17241265,0.3788124,0.2908097,0.08501262
62,0.38808194,0.2255486,0.035232887,0.74526423,0.8773754,0.8435565,0.99297583,0.71135473,0.42348522,0.11434351
63,0.19149764,0.4460667,0.784246,0.36262462,0.3474288,0.2365198,0.37887782,0.22331473,0.2955275,0.6709393
64,0.5426978,0.39859408,0.061817717,0.16041535,0.86221206,0.5009144,0.085421875,0.24957284,0.6133854,0.8141835
65,0.48480162,0.39242536,0.22610046,0.30590066,0.044897035,0.68722063,0.6133237,0.073423095,0.049156167,0.27701864
66,0.103738844,0.35753384,0.19648506,0.25080705,0.17624652,0.48317388,0.09306711,0.107049115,0.13594899,0.15108192
67,0.84209555,0.5002375,0.14271872,0.08611582,0.28767833,0.1224577,0.25988105,0.2556737,0.31975925,0.6450973
68,0.037867002,0.0791146,0.08138454,0.22405383,0.778764,0.41516867,0.29426348,0.24442178,0.6658988,0.0689719
69,0.13754728,0.19663577,0.10212253,0.36403802,0.09796127,0.04273958,0.085758574,0.4321629,0.9598751,0.12660992
70,0.18917544,0.52858394,0.16274138,0.34879175,0.3879577,0.42141,0.10105629,0.0567205,0.06306382,0.052734703
71,0.96517676,0.74445975,0.40536985,0.18105422,0.13260336,0.28340283,0.034081254,0.41681135,0.3453306,0.41901207
72,0.48832694,0.11712064,0.060293883,0.6435666,0.41237712,0.16370386,0.073442236,0.1457307,0.1469801,0.29480323
73,0.5517155,0.04444656,0.6872652,0.19933173,0.1236497,0.9934936,0.19736966,0.11503403,0.747811,0.50558674
74,0.37320247,0.11462837,0.098883845,0.23310286,0.45823187,0.10240531,0.5227686,0.740764,0.17738076,0.5142181
75,0.6262723,0.051116128,0.9894789,0.17948356,0.5443372,0.30021876,0.47778398,0.09916148,0.39715958,0.87266076
76,0.21531184,0.05334948,0.58742815,0.28303096,0.18888351,0.15751988,0.10996119,0.060324714,0.17153694,0.19359638
77,0.6503949,0.47327256,0.044319347,0.042991787,0.3140002,0.30413172,0.40708345,0.23124236,0.15102835,0.80668074
78,0.19332942,0.20939656,0.6735504,0.10511505,0.058234714,0.756236,0.32270688,0.32956323,0.85456485,0.10693815
79,0.39893648,0.7625901,0.38683894,0.59120697,0.24505961,0.15861167,0.37050173,0.05001619,0.47956255,0.28619656
80,0.5885774,0.11063862,0.5081522,0.07326961,0.032742374,0.81174445,0.18600816,0.14276959,0.07383405,0.16923162
81,0.5929548,0.35214403,0.87739414,0.05311565,0.1694402,0.21237256,0.44875032,0.015887186,0.18157887,0.024082072
82,0.09084859,0.55707145,0.7643341,0.32699057,0.0783989,0.3200737,0.09870318,0.13339578,0.4089599,0.25932467
83,0.13832396,0.10522061,0.783026,0.5287261,0.8317303,0.26363853,0.19133049,0.91137934,0.18580982,0.5932196
84,0.3419999,0.18347499,0.30578965,0.11068859,0.014622595,0.2855732,0.67488045,0.19576323,0.03582063,0.01709434
85,0.19433962,0.07423071,0.6970338,0.74117625,0.7241628,0.16700009,0.10945329,0.17549102,0.42850867,0.28077134
86,0.5982407,0.4179923,0.3212419,0.06808062,0.7141098,0.16775833,0.65673804,0.16599058,0.03891073,0.34014747
87,0.079381295,0.35472715,0.39372268,0.3312245,0.32809597,0.10962336,0.11729915,0.109209776,0.53232694,0.10035243
88,0.37964988,0.96169907,0.75746334,0.4718409,0.6636624,0.81586903,0.45328063,0.105801806,0.27350795,0.27392283
89,0.9505933,0.12951554,0.35172012,0.53217214,0.4111637,0.41782808,0.29858792,0.52377754,0.3208282,0.41406563
90,0.14333366,0.51674664,0.7081117,0.075569294,0.08042942,0.024184767,0.40182766,0.54904217,0.14471239,0.30925086
91,0.18695243,0.87334657,0.47465938,0.44059214,0.87339854,0.6128959,0.3302145,0.20195286,0.080096416,0.72612417
92,0.9429489,0.6499035,0.4569045,0.9248607,0.32236594,0.8233163,0.3952912,0.17274055,0.33951434,0.42716146
93,0.1919028,0.14295799,0.21639808,0.14644846,0.13945335,0.25536337,0.25928208,0.33626357,0.062188152,0.21871817
94,0.11460628,0.18029107,0.11156314,0.09267037,0.49525103,0.05937658,0.050462548,0.028422112,0.28737473,0.06620373
95,0.3726539,0.032840364,0.49793404,0.22867577,0.46065095,0.06588303,0.402424,0.73088384,0.73076516,0.12694624
96,0.05651781,0.92701125,0.7242874,0.8134176,0.20255096,0.28917524,0.30253494,0.12183213,0.3682654,0.095984615
97,0.07185641,0.77087754,0.25476602,0.7826214,0.08803727,0.08268155,0.39421362,0.023603482,0.022908632,0.04381918
98,0.38022783,0.03490211,0.100411065,0.19230017,0.08799018,0.84963506,0.14356744,0.5851913,0.5026231,0.072576046
99,0.06562421,0.641441,0.2591319,0.17819533,0.5454423,0.24835292,0.36828834,0.26820132,0.30666393,0.483699
